keyword,count
wind speed forecasting,236
wind speed prediction,201
deep learning,115
wind speed,104
machine learning,60
variational mode decomposition,49
wind energy,39
renewable energy,37
hybrid model,35
forecasting,31
long short-term memory,30
lstm,27
attention mechanism,25
short-term wind speed prediction,21
artificial intelligence,21
transformer,20
gated recurrent unit,19
artificial neural network,16
feature selection,16
prediction,16
interval prediction,15
neural network,15
time series,14
decomposition,14
secondary decomposition,14
convolutional neural network,14
combined model,13
neural networks,13
wind power,12
wind speed forecast,12
short-term wind speed forecasting,12
singular spectrum analysis,11
numerical weather prediction,11
data preprocessing,11
graph neural network,10
phase space reconstruction,10
error correction,10
ensemble model,10
extreme learning machine,10
artificial neural networks,9
